"GEOGRAPHY_NAME","GEOGRAPHY_CODE","AGE_NAME","OBS_VALUE"
"Stainsby Hill","E36000084","Aged 25-29",35
"Stockton Town Centre","E36000085","Aged 16-24",120
"Stockton Town Centre","E36000085","Aged 25-29",95
"Village","E36000086","Aged 16-24",30
"Village","E36000086","Aged 25-29",20
"Western Parishes","E36000087","Aged 16-24",10
"Western Parishes","E36000087","Aged 25-29",5
"Yarm","E36000088","Aged 16-24",20
"Yarm","E36000088","Aged 25-29",10
"Birtley","E36006653","Aged 16-24",45
"Birtley","E36006653","Aged 25-29",20
"Blaydon","E36006654","Aged 16-24",65
"Blaydon","E36006654","Aged 25-29",30
"Bridges","E36006655","Aged 16-24",55
"Bridges","E36006655","Aged 25-29",40
"Chopwell and Rowlands Gill","E36006656","Aged 16-24",65
"Chopwell and Rowlands Gill","E36006656","Aged 25-29",30
"Chowdene","E36006657","Aged 16-24",65
"Chowdene","E36006657","Aged 25-29",30
"Crawcrook and Greenside","E36006658","Aged 16-24",25
"Crawcrook and Greenside","E36006658","Aged 25-29",10
"Deckham","E36006659","Aged 16-24",80
"Deckham","E36006659","Aged 25-29",60
"Dunston and Teams","E36006660","Aged 16-24",70
"Dunston and Teams","E36006660","Aged 25-29",60
"Dunston Hill and Whickham East","E36006661","Aged 16-24",35
"Dunston Hill and Whickham East","E36006661","Aged 25-29",15
"Felling","E36006662","Aged 16-24",85
"Felling","E36006662","Aged 25-29",55
"High Fell","E36006663","Aged 16-24",100
"High Fell","E36006663","Aged 25-29",45
"Lamesley","E36006664","Aged 16-24",55
"Lamesley","E36006664","Aged 25-29",40
"Lobley Hill and Bensham","E36006665","Aged 16-24",80
"Lobley Hill and Bensham","E36006665","Aged 25-29",60
"Low Fell","E36006666","Aged 16-24",20
"Low Fell","E36006666","Aged 25-29",5
"Pelaw and Heworth","E36006667","Aged 16-24",35
"Pelaw and Heworth","E36006667","Aged 25-29",15
"Ryton, Crookhill and Stella","E36006668","Aged 16-24",40
"Ryton, Crookhill and Stella","E36006668","Aged 25-29",20
"Saltwell","E36006669","Aged 16-24",65
"Saltwell","E36006669","Aged 25-29",60
"Wardley and Leam Lane","E36006670","Aged 16-24",45
"Wardley and Leam Lane","E36006670","Aged 25-29",25
"Whickham North","E36006671","Aged 16-24",35
"Whickham North","E36006671","Aged 25-29",25
"Whickham South and Sunniside","E36006672","Aged 16-24",15
"Whickham South and Sunniside","E36006672","Aged 25-29",5
"Windy Nook and Whitehills","E36006673","Aged 16-24",55
"Windy Nook and Whitehills","E36006673","Aged 25-29",35
"Winlaton and High Spen","E36006674","Aged 16-24",35
"Winlaton and High Spen","E36006674","Aged 25-29",20
"Benwell and Scotswood","E36006675","Aged 16-24",95
"Benwell and Scotswood","E36006675","Aged 25-29",90
"Blakelaw","E36006676","Aged 16-24",80
