GEOGRAPHY_CODE,OBS_VALUE,,,,,,,,GEOGRAPHY_NAME
E05001852,0,,,,,Kilwaughter,95QQ14,15,Frome
E05001853,5,,,,,Town Parks,95QQ15,5,Golden Cross with Weobley
E05001854,0,,,,,Aghanloo,95RR01,20,Golden Valley North
E05001855,0,,,,,Ballykelly,95RR02,10,Golden Valley South
E05001856,10,,,,,Coolessan,95RR03,15,Hagley
E05001857,5,,,,,Dungiven,95RR04,10,Hampton Court
E05001858,0,,,,,Enagh (Limavady LGD),95RR05,15,Hollington
E05001859,5,,,,,Feeny,95RR06,10,Hope End
E05001860,5,,,,,Forest,95RR07,5,Kerne Bridge
E05001861,10,,,,,Glack,95RR08,5,Kington Town
E05001862,10,,,,,Gresteel,95RR09,15,Ledbury
E05001863,25,,,,,Greystone (Limavady LGD),95RR10,30,Leominster North
E05001864,30,,,,,Magilligan,95RR11,5,Leominster South
E05001865,5,,,,,Rathbrady,95RR12,10,Llangarron
E05001866,5,,,,,Roeside,95RR13,5,Mortimer
E05001867,5,,,,,The Highlands,95RR14,5,Old Gore
E05001868,5,,,,,Upper Glenshane,95RR15,5,Pembridge and Lyonshall with Titley
E05001869,0,,,,,Ballinderry,95SS01,10,Penyard
E05001870,5,,,,,Ballymacash,95SS02,5,Pontrilas
E05001871,15,,,,,Ballymacbrennan,95SS03,5,Ross-on-Wye East
E05001872,15,,,,,Ballymacoss,95SS04,15,Ross-on-Wye West
E05001873,50,,,,,Blaris,95SS05,5,St Martins and Hinton
E05001874,25,,,,,Collin Glen,95SS06,40,St Nicholas
E05001875,5,,,,,Derryaghy,95SS07,35,Stoney Street
E05001876,5,,,,,Dromara,95SS08,5,Sutton Walls
E05001877,20,,,,,Drumbo,95SS09,0,Three Elms
E05001878,15,,,,,Dunmurry,95SS10,10,Tupsley
E05001879,0,,,,,Glenavy,95SS11,5,Upton
E05001880,5,,,,,Harmony Hill,95SS12,0,Valletts
E05001881,0,,,,,Hilden,95SS13,20,Wormsley Ridge
E05001882,0,,,,,Hillhall,95SS14,10,Apley Castle
E05001883,10,,,,,Hillsborough,95SS15,5,Arleston
E05001884,65,,,,,Kilwee,95SS16,20,Brookside
E05001885,5,,,,,Knockmore,95SS17,10,Church Aston and Lilleshall
E05001886,15,,,,,Lagan Valley,95SS18,10,College
E05001887,45,,,,,Lambeg,95SS19,10,Cuckoo Oak
E05001888,40,,,,,Lisnagarvy,95SS20,0,Dawley Magna
E05001889,35,,,,,Maghaberry,95SS21,10,Donnington
E05001890,5,,,,,Magheralave,95SS22,5,Dothill
E05001891,0,,,,,Maze,95SS23,5,Edgmond
E05001892,10,,,,,Moira,95SS24,10,Ercall
E05001893,5,,,,,Old Warren,95SS25,5,Ercall Magna
E05001894,55,,,,,Poleglass,95SS26,15,Hadley and Leegomery
E05001895,20,,,,,Seymour Hill,95SS27,5,Haygate
E05001896,15,,,,,Tonagh,95SS28,15,Horsehay and Lightmoor
E05001897,0,,,,,Twinbrook,95SS29,15,Ironbridge Gorge
E05001898,45,,,,,Wallace Park,95SS30,5,Ketley and Oakengates
E05001899,20,,,,,Ballymaguigan,95TT01,5,Lawley and Overdale
E05001900,15,,,,,Bellaghy,95TT02,10,Madeley
E05001901,55,,,,,Castledawson,95TT03,5,Malinslee
